pm10,so2,co,o3,no2,categori
55.0,19.0,34.0,3.0,19.0,SEDANG
55.0,21.0,37.0,4.0,19.0,SEDANG
58.0,19.0,40.0,5.0,22.0,SEDANG
59.0,21.0,37.0,48.0,18.0,SEDANG
59.0,21.0,30.0,68.0,15.0,SEDANG
62.0,23.0,19.0,89.0,14.0,SEDANG
61.0,20.0,32.0,51.0,18.0,SEDANG
62.0,21.0,35.0,79.0,26.0,SEDANG
76.0,21.0,70.0,51.0,20.0,SEDANG
56.0,17.0,25.0,59.0,9.0,SEDANG
48.0,19.0,18.0,48.0,7.0,BAIK
46.0,21.0,16.0,44.0,7.0,BAIK
47.0,17.0,25.0,52.0,9.0,SEDANG
52.0,17.0,37.0,60.0,21.0,SEDANG
65.0,15.0,41.0,59.0,20.0,SEDANG
67.0,15.0,35.0,62.0,17.0,SEDANG
57.0,12.0,37.0,56.0,18.0,SEDANG
53.0,13.0,32.0,64.0,18.0,SEDANG
65.0,22.0,29.0,55.0,20.0,SEDANG
59.0,21.0,20.0,64.0,14.0,SEDANG
57.0,18.0,29.0,68.0,16.0,SEDANG
62.0,23.0,27.0,66.0,20.0,SEDANG
60.0,23.0,35.0,70.0,19.0,SEDANG
61.0,20.0,31.0,67.0,16.0,SEDANG
51.0,10.0,24.0,83.0,14.0,SEDANG
57.0,10.0,20.0,77.0,13.0,SEDANG
55.0,12.0,32.0,63.0,25.0,SEDANG
60.0,15.0,30.0,45.0,26.0,SEDANG
62.0,15.0,29.0,71.0,21.0,SEDANG
68.0,13.0,29.0,77.0,19.0,SEDANG
67.0,14.0,29.0,67.0,16.0,SEDANG
66.0,11.0,27.0,51.0,13.0,SEDANG
60.0,12.0,18.0,46.0,12.0,SEDANG
56.0,12.0,23.0,38.0,14.0,SEDANG
59.0,10.0,28.0,76.0,18.0,SEDANG
53.0,14.0,27.0,78.0,20.0,SEDANG
52.0,12.0,33.0,99.0,21.0,SEDANG
59.0,14.0,33.0,65.0,19.0,SEDANG
63.0,17.0,34.0,51.0,18.0,SEDANG
56.0,14.0,20.0,46.0,14.0,SEDANG
54.0,13.0,24.0,55.0,15.0,SEDANG
66.0,14.0,29.0,78.0,17.0,SEDANG
54.0,13.0,27.0,46.0,17.0,SEDANG
59.0,18.0,27.0,62.0,14.0,SEDANG
63.0,19.0,25.0,42.0,12.0,SEDANG
54.0,16.0,21.0,54.0,10.0,SEDANG
51.0,15.0,18.0,57.0,12.0,SEDANG
54.0,13.0,27.0,55.0,13.0,SEDANG
60.0,20.0,30.0,50.0,17.0,SEDANG
58.0,17.0,28.0,44.0,13.0,SEDANG
57.0,14.0,27.0,81.0,17.0,SEDANG
63.0,14.0,30.0,123.0,19.0,TIDAK SEHAT
62.0,14.0,29.0,75.0,18.0,SEDANG
61.0,17.0,31.0,48.0,16.0,SEDANG
62.0,18.0,35.0,84.0,26.0,SEDANG
62.0,18.0,32.0,60.0,16.0,SEDANG
52.0,16.0,26.0,42.0,13.0,SEDANG
53.0,17.0,23.0,36.0,11.0,SEDANG
55.0,22.0,23.0,31.0,10.0,SEDANG
62.0,19.0,30.0,34.0,13.0,SEDANG
55.0,16.0,19.0,75.0,14.0,SEDANG
51.0,13.0,30.0,87.0,22.0,SEDANG
65.0,17.0,32.0,55.0,18.0,SEDANG
59.0,12.0,25.0,75.0,18.0,SEDANG
61.0,7.0,29.0,81.0,16.0,SEDANG
53.0,16.0,27.0,80.0,18.0,SEDANG
64.0,15.0,27.0,78.0,20.0,SEDANG
57.0,14.0,20.0,54.0,19.0,SEDANG
57.0,16.0,23.0,47.0,16.0,SEDANG
56.0,14.0,25.0,53.0,15.0,SEDANG
58.0,10.0,28.0,100.0,20.0,SEDANG
65.0,12.0,27.0,99.0,21.0,SEDANG
65.0,16.0,29.0,84.0,22.0,SEDANG
68.0,15.0,27.0,85.0,16.0,SEDANG
66.0,14.0,23.0,54.0,13.0,SEDANG
